source,target,link_type,direction,confidence,inferred
HADOOP-17745,HADOOP-16998,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17745,HADOOP-17052,augmented_soft_depends_on,augmented,0.795,True
HADOOP-17745,HADOOP-16208,augmented_soft_depends_on,augmented,0.773,True
HADOOP-17744,HADOOP-16226,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17744,HADOOP-17686,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17744,HADOOP-16911,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17743,HADOOP-16887,augmented_soft_depends_on,augmented,0.795,True
HADOOP-17743,HADOOP-17720,augmented_soft_depends_on,augmented,0.771,True
HADOOP-17743,HADOOP-17721,augmented_soft_depends_on,augmented,0.767,True
HADOOP-17742,HADOOP-16932,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17742,HADOOP-16356,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17742,HADOOP-16247,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17741,HADOOP-17165,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17741,HADOOP-17280,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17741,HADOOP-17356,augmented_soft_depends_on,augmented,0.759,True
HADOOP-17740,HADOOP-17185,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17740,HADOOP-17548,augmented_soft_depends_on,augmented,0.768,True
HADOOP-17740,HADOOP-17379,augmented_soft_depends_on,augmented,0.743,True
HADOOP-17739,HADOOP-17696,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17739,HADOOP-17734,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17739,HADOOP-17658,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17737,HADOOP-16937,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17737,HADOOP-16936,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17737,HADOOP-17136,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17736,HADOOP-17566,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17736,HADOOP-17473,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17736,HADOOP-17008,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17735,HADOOP-17343,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17735,HADOOP-17197,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17735,HADOOP-16805,augmented_soft_depends_on,augmented,0.757,True
HADOOP-17734,HADOOP-16927,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17734,HADOOP-17739,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17734,HADOOP-17696,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17733,HADOOP-17658,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17733,HADOOP-17739,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17733,HADOOP-17696,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17732,HADOOP-17753,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17732,HADOOP-17726,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17732,HADOOP-17720,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17731,HADOOP-16435,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17731,HADOOP-16208,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17731,HADOOP-17068,augmented_soft_depends_on,augmented,0.794,True
HADOOP-17730,HADOOP-16754,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17730,HADOOP-16863,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17730,HADOOP-17078,augmented_soft_depends_on,augmented,0.693,True
HADOOP-17728,HADOOP-17749,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17728,HADOOP-16230,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17728,HADOOP-17009,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17726,HADOOP-17720,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17726,HADOOP-17721,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17726,HADOOP-17722,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17725,HADOOP-17694,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17725,HADOOP-17053,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17725,HADOOP-16842,augmented_soft_depends_on,augmented,0.763,True
HADOOP-17724,HADOOP-17693,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17724,HADOOP-17678,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17724,HADOOP-16797,augmented_soft_depends_on,augmented,0.754,True
HADOOP-17723,HADOOP-17328,augmented_soft_depends_on,augmented,0.688,True
HADOOP-17723,HADOOP-17541,augmented_soft_depends_on,augmented,0.657,True
HADOOP-17723,HADOOP-16810,augmented_soft_depends_on,augmented,0.651,True
HADOOP-17722,HADOOP-17720,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17722,HADOOP-17721,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17722,HADOOP-17726,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17721,HADOOP-17720,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17721,HADOOP-17722,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17721,HADOOP-17726,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17720,HADOOP-17721,augmented_soft_depends_on,augmented,0.8,True
